"","candidate","votes","fraction_votes","PST045214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214"
"3","Donald Trump",5387,0.445,55395,51.4,77.9,18.7,0.5,1.1,0.1,1.8,2.7,75.6
"6","Hillary Clinton",2387,0.8,55395,51.4,77.9,18.7,0.5,1.1,0.1,1.8,2.7,75.6
"12","Hillary Clinton",5290,0.647,200111,51.2,87.1,9.6,0.7,0.9,0.1,1.6,4.6,83
"13","Donald Trump",23618,0.469,200111,51.2,87.1,9.6,0.7,0.9,0.1,1.6,4.6,83
"16","Donald Trump",1710,0.501,26887,46.6,50.2,47.6,0.6,0.5,0.2,0.9,4.5,46.6
"18","Hillary Clinton",2567,0.906,26887,46.6,50.2,47.6,0.6,0.5,0.2,0.9,4.5,46.6
"25","Hillary Clinton",942,0.755,22506,45.9,76.3,22.1,0.4,0.2,0.1,0.9,2.1,74.5
"26","Donald Trump",1959,0.494,22506,45.9,76.3,22.1,0.4,0.2,0.1,0.9,2.1,74.5
"29","Hillary Clinton",564,0.551,57719,50.5,96,1.8,0.6,0.3,0.1,1.2,8.7,87.8
"33","Donald Trump",7390,0.487,57719,50.5,96,1.8,0.6,0.3,0.1,1.2,8.7,87.8
"37","Donald Trump",313,0.565,10764,45.3,26.9,70.1,0.8,0.3,0.7,1.1,7.5,22.1
"39","Hillary Clinton",2451,0.913,10764,45.3,26.9,70.1,0.8,0.3,0.7,1.1,7.5,22.1
"43","Donald Trump",1720,0.538,20296,53.6,53.9,44,0.4,0.9,0,0.8,1.2,53.1
"48","Hillary Clinton",2196,0.921,20296,53.6,53.9,44,0.4,0.9,0,0.8,1.2,53.1
"52","Donald Trump",8960,0.451,115916,51.8,75.8,21.1,0.5,0.9,0.1,1.7,3.5,72.9
"53","Hillary Clinton",5011,0.765,115916,51.8,75.8,21.1,0.5,0.9,0.1,1.7,3.5,72.9
"57","Hillary Clinton",2899,0.886,34076,52.3,58.3,39.5,0.3,0.8,0.1,1.1,2,56.8
"58","Donald Trump",2169,0.476,34076,52.3,58.3,39.5,0.3,0.8,0.1,1.1,2,56.8
"64","Donald Trump",2777,0.521,26037,50.2,93,4.6,0.5,0.3,0,1.6,1.5,91.6
"67","Hillary Clinton",712,0.661,26037,50.2,93,4.6,0.5,0.3,0,1.6,1.5,91.6
"74","Donald Trump",5273,0.493,43931,50.8,87.1,10.6,0.5,0.4,0.2,1.2,7.7,80.3
"76","Hillary Clinton",860,0.731,43931,50.8,87.1,10.6,0.5,0.4,0.2,1.2,7.7,80.3
"80","Donald Trump",1070,0.499,13323,52.5,56.6,42.4,0.2,0.3,0,0.5,0.8,56.1
"82","Hillary Clinton",1772,0.802,13323,52.5,56.6,42.4,0.2,0.3,0,0.5,0.8,56.1
"85","Hillary Clinton",3148,0.93,24945,52.8,54,44.2,0.4,0.5,0,0.8,1.3,53.1
"91","Donald Trump",2308,0.502,24945,52.8,54,44.2,0.4,0.5,0,0.8,1.3,53.1
"94","Donald Trump",1920,0.476,13552,50.6,82.8,14.5,0.6,0.3,0,1.8,3.4,79.7
"95","Hillary Clinton",807,0.818,13552,50.6,82.8,14.5,0.6,0.3,0,1.8,3.4,79.7
"103","Donald Trump",2120,0.483,15080,50.4,94.5,3.6,0.4,0.2,0.1,1.2,2.5,92.3
"104","Hillary Clinton",221,0.732,15080,50.4,94.5,3.6,0.4,0.2,0.1,1.2,2.5,92.3
"106","Donald Trump",4304,0.414,50909,50.5,76.4,17.7,1.4,1.6,0.4,2.5,6.4,71.3
"111","Hillary Clinton",1493,0.772,50909,50.5,76.4,17.7,1.4,1.6,0.4,2.5,6.4,71.3
